r,n_r,j,k,in_window_d0.5,in_window_d1,w,abs_D,arg_D,abs_H,arg_H,arg_DH,abs_term,term_re,term_im
14,0,0,0,1,1,1.0,0.9999999999999998,0.3151288927211984,1.0000000000000002,0.07622500322479521,0.39135389594599357,1.0,0.9243934767657638,0.38144029691801473
15,0,0,0,1,1,1.0,0.9999999999999998,0.3151288927211984,1.0000000000000002,0.0766733984757054,0.39180229119690374,1.0,0.9242223478253621,0.38185475220321097
16,1,0,1,1,1,0.75,0.9999999999999998,0.31512889272119843,0.9998817378675945,0.08920232933076813,0.40433122205196653,0.7499113034006957,0.6894427323862858,0.29501810406797546
16,1,1,0,1,1,0.25,0.9975954207533365,0.39509996627583965,1.0,0.15394465728595771,0.5490446235617974,0.24939885518833413,0.2127430833457285,0.13015440621740038
17,1,0,1,1,1,0.7647058823529411,0.9999999999999998,0.31512889272119843,0.9998853503079724,0.08864471869669613,0.40377361141789453,0.7646182090590374,0.7031313791769042,0.3004118327254017
17,1,1,0,1,1,0.23529411764705882,0.9975954207533365,0.39509996627583965,0.9999999999999998,0.15434323084232232,0.549443197118162,0.23472833429490264,0.20017994385342391,0.12257806084165153
18,2,0,2,1,1,0.6140350877192983,0.9999999999999998,0.31512889272119843,0.9996084481401406,0.10293418320111675,0.4180630759223152,0.6137946611386828,0.5609328407556252,0.2491951729150762
18,2,1,1,1,1,0.32748538011695905,0.9975954207533365,0.39509996627583965,0.9995564021776813,0.17615738662137562,0.5712573528972154,0.3265529930844419,0.2747034972666009,0.1765639993937217
18,2,2,0,1,1,0.05847953216374269,0.9874829901604438,0.5240744448890677,1.0,0.3092178930931307,0.8332923379821985,0.05774754328423648,0.038831907417888376,0.04274180297616506
19,3,0,3,1,1,0.5112781954887218,0.9999999999999998,0.31512889272119843,0.9990056970190624,0.12051648662174488,0.4356453793429433,0.5107698300548589,0.46306284708157874,0.21554261515294804
