r,n_r,m,N_paths_log10,G_re,G_im,abs_G,r_abs_G,abs_Gmix_minus_G,tri_full,r_tri_full,abs_D_at_0,max_absH_all_j,argmax_absH_all_j,argmax_absterm_all_j,L_d0.5,jmax_d0.5,S_d0.5,r_S_d0.5,max_absH_window_d0.5,min_absH_window_d0.5,trunc_bound_d0.5,abs_signed_trunc_d0.5,abs_signed_trunc_minus_G_d0.5,weight_in_window_d0.5,ratio_S_over_absG_d0.5,ratio_full_over_S_d0.5,L_d1,jmax_d1,S_d1,r_S_d1,max_absH_window_d1,min_absH_window_d1,trunc_bound_d1,abs_signed_trunc_d1,abs_signed_trunc_minus_G_d1,weight_in_window_d1,ratio_S_over_absG_d1,ratio_full_over_S_d1,seconds
14,0,10,0.0,0.9243934767657638,0.3814402969180147,0.9999999999999999,13.999999999999998,5.551115123125783e-17,1.0,14.0,0.9999999999999998,1.0000000000000002,0,0,16,0,1.0,14.0,1.0000000000000002,1.0000000000000002,0.07636035483212125,0.9999999999999999,5.551115123125783e-17,1.0,1.0000000000000002,1.0,22,0,1.0,14.0,1.0000000000000002,1.0000000000000002,0.02040816326530612,0.9999999999999999,5.551115123125783e-17,1.0,1.0000000000000002,1.0,0.0031097999890334904
15,0,11,0.0,0.924222347825362,0.38185475220321086,0.9999999999999999,14.999999999999998,1.5700924586837752e-16,1.0,15.0,0.9999999999999998,1.0000000000000002,0,0,17,0,1.0,15.0,1.0000000000000002,1.0000000000000002,0.06885303726590963,1.0,1.5700924586837752e-16,1.0,1.0000000000000002,1.0,22,0,1.0,15.0,1.0000000000000002,1.0000000000000002,0.017777777777777778,1.0,1.5700924586837752e-16,1.0,1.0000000000000002,1.0,0.0012152999988757074
16,1,12,1.2041199826559248,0.9021858157320145,0.42517251028537584,0.9973519487174066,15.957631179478506,1.1102230246251565e-16,0.9993101585890298,15.988962537424477,0.9999999999999998,1.0,1,0,17,1,0.9993101585890298,15.988962537424477,1.0,0.9998817378675945,0.0625,0.9973519487174065,1.1102230246251565e-16,1.0,1.0019634090795546,1.0,23,1,0.9993101585890298,15.988962537424477,1.0,0.9998817378675945,0.015625,0.9973519487174065,1.1102230246251565e-16,1.0,1.0019634090795546,1.0,0.00044329999946057796
17,1,13,1.230448921378275,0.9033113230303284,0.42298989356705324,0.9974426281118475,16.956524677901406,3.3766115072321297e-16,0.9993465433539401,16.988891237016983,0.9999999999999998,0.9999999999999998,1,0,18,1,0.9993465433539401,16.988891237016983,0.9999999999999998,0.9998853503079724,0.057067205890901876,0.9974426281118471,3.3766115072321297e-16,1.0,1.0019087967452291,1.0,23,1,0.9993465433539401,16.988891237016983,0.9999999999999998,0.9998853503079724,0.01384083044982699,0.9974426281118471,3.3766115072321297e-16,1.0,1.0019087967452291,1.0,0.0005539999983739108
18,2,14,2.232996110392153,0.8744682454401147,0.4685009752849629,0.9920624355987249,17.85712384077705,2.2887833992611187e-16,0.9980951975073611,17.9657135551325,0.9999999999999998,1.0,2,0,18,2,0.9980951975073611,17.9657135551325,1.0,0.9995564021776813,0.05237828008789241,0.9920624355987246,2.2887833992611187e-16,1.0,1.006081030479695,1.0,24,2,0.9980951975073611,17.9657135551325,1.0,0.9995564021776813,0.012345679012345678,0.9920624355987246,2.2887833992611187e-16,1.0,1.006081030479695,1.0,0.00045200000749900937
19,3,15,3.123851640967086,0.8346708769799771,0.517081665779265,0.9818599299103633,18.655338668296903,2.482534153247273e-16,0.9957476593250896,18.9192055271767,0.9999999999999998,0.9999999999999999,3,0,18,3,0.9957476593250896,18.9192055271767,0.9999999999999999,0.9982869618153238,0.04829804923590774,0.9818599299103635,2.482534153247273e-16,0.9999999999999999,1.0141443081560464,1.0,24,3,0.9957476593250896,18.9192055271767,0.9999999999999999,0.9982869618153238,0.0110803324099723,0.9818599299103635,2.482534153247273e-16,0.9999999999999999,1.0141443081560464,1.0,0.00044520001392811537
20,3,16,3.187520720836461,0.840647436016365,0.5095838014340799,0.9830380269170141,19.660760538340284,2.482534153247273e-16,0.9960614456201559,19.921228912403116,0.9999999999999998,1.0000000000000002,3,0,19,3,0.9960614456201559,19.921228912403116,1.0000000000000002,0.9983453961498528,0.044721359549995794,0.9830380269170144,2.482534153247273e-16,1.0,1.0132481331815673,1.0,25,3,0.9960614456201559,19.921228912403116,1.0000000000000002,0.9983453961498528,0.01,0.9830380269170144,2.482534153247273e-16,1.0,1.0132481331815673,1.0,0.00042890000622719526
21,4,17,4.026369811573718,0.7919963264506286,0.5552038017621801,0.9672173709164186,20.31156478924479,4.577566798522237e-16,0.9921075112027781,20.83425773525834,0.9999999999999998,0.9999999999999997,4,0,19,4,0.9921075112027781,20.83425773525834,0.9999999999999997,0.9936365903121566,0.04156531242590331,0.967217370916419,4.577566798522237e-16,1.0,1.0257337606155446,1.0,25,4,0.9921075112027781,20.83425773525834,0.9999999999999997,0.9936365903121566,0.009070294784580499,0.967217370916419,4.577566798522237e-16,1.0,1.0257337606155446,1.0,0.00048290000995621085
22,4,18,4.102090525511835,0.8011921759261121,0.5461106482220848,0.9696111297147758,21.331444853725067,4.577566798522237e-16,0.9927528379786329,21.840562435529925,0.9999999999999998,0.9999999999999997,4,0,19,4,0.9927528379786329,21.840562435529925,0.9999999999999997,0.993853992625372,0.03876376661011099,0.9696111297147763,4.577566798522237e-16,0.9999999999999999,1.02386699941312,1.0,25,4,0.9927528379786329,21.840562435529925,0.9999999999999997,0.993853992625372,0.008264462809917356,0.9696111297147763,4.577566798522237e-16,0.9999999999999999,1.02386699941312,1.0,0.0004634000069927424
23,5,19,4.9070349524834205,0.7452292203181886,0.5860762579403163,0.9480780405311471,21.805794932216383,2.220446049250313e-16,0.9863239827098002,22.685451602325404,0.9999999999999998,1.0,5,0,19,5,0.9863239827098002,22.685451602325404,1.0,0.9766935654475695,0.03626337635775213,0.9480780405311472,2.220446049250313e-16,1.0,1.0403404999837633,1.0,26,5,0.9863239827098002,22.685451602325404,1.0,0.9766935654475695,0.007561436672967864,0.9480780405311472,2.220446049250313e-16,1.0,1.0403404999837633,1.0,0.0005050000036135316
